trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20101109,399300.SZ,20101109,3523.954,3547.44,3547.44,3498.623,3548.566,-24.612,-0.6936,122454533.0,170174876.748
20101110,399300.SZ,20101110,3499.111,3507.195,3508.275,3470.968,3523.954,-24.843,-0.705,120078578.0,176529783.278
20101111,399300.SZ,20101111,3509.975,3490.738,3557.987,3484.891,3499.111,10.864,0.3105,138976233.0,209121524.845
20101112,399300.SZ,20101112,3291.833,3484.606,3497.061,3284.348,3509.975,-218.142,-6.2149,160733850.0,224200791.087
20101115,399300.SZ,20101115,3314.893,3298.737,3319.976,3241.758,3291.833,23.06,0.7005,102315724.0,144492952.434
20101116,399300.SZ,20101116,3169.538,3311.616,3311.616,3155.475,3314.893,-145.355,-4.3849,108307072.0,154278113.336
20101117,399300.SZ,20101117,3103.906,3124.109,3168.931,3087.507,3169.538,-65.632,-2.0707,83258080.0,118981231.625
20101118,399300.SZ,20101118,3147.962,3134.937,3158.629,3097.388,3103.906,44.056,1.4194,65697292.0,94476115.838
20101119,399300.SZ,20101119,3178.846,3168.165,3178.846,3076.213,3147.962,30.884,0.9811,83347654.0,114672977.294
20101122,399300.SZ,20101122,3171.941,3148.215,3200.472,3137.751,3178.846,-6.905,-0.2172,83212776.0,114302974.766
20101123,399300.SZ,20101123,3107.176,3156.478,3156.478,3061.623,3171.941,-64.765,-2.0418,77399591.0,105281461.473
20101124,399300.SZ,20101124,3177.043,3088.992,3177.412,3088.992,3107.176,69.867,2.2486,75332083.0,107688446.612
20101125,399300.SZ,20101125,3223.484,3197.965,3227.054,3172.282,3177.043,46.441,1.4618,83442094.0,116948295.3
20101126,399300.SZ,20101126,3194.853,3214.132,3224.517,3170.364,3223.484,-28.631,-0.8882,64467824.0,96226367.197
20101129,399300.SZ,20101129,3190.05,3183.54,3206.756,3159.459,3194.853,-4.803,-0.1503,58994892.0,88799073.974
20101130,399300.SZ,20101130,3136.985,3187.529,3205.782,3060.438,3190.05,-53.065,-1.6635,85762355.0,120572328.539
20101201,399300.SZ,20101201,3136.024,3127.262,3150.436,3111.645,3136.985,-0.961,-0.0306,48882668.0,69472579.579
